192.168.0.103,48.208.208.22,UDP,54119,3480,90,2025-06-29 00:51:54.079647
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.082640
48.208.208.22,192.168.0.103,UDP,3480,54119,163,2025-06-29 00:51:54.085632
192.168.0.103,48.208.208.22,UDP,54119,3480,107,2025-06-29 00:51:54.088657
48.208.208.22,192.168.0.103,UDP,3480,54119,165,2025-06-29 00:51:54.091648
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.102638
48.208.208.22,192.168.0.103,UDP,3480,54119,158,2025-06-29 00:51:54.104632
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.114631
48.208.208.22,192.168.0.103,UDP,3480,54119,142,2025-06-29 00:51:54.118648
192.168.0.103,48.208.208.22,UDP,54119,3480,90,2025-06-29 00:51:54.121640
48.208.208.22,192.168.0.103,UDP,3480,54119,141,2025-06-29 00:51:54.128646
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.130640
48.208.208.22,192.168.0.103,UDP,3480,54119,139,2025-06-29 00:51:54.132635
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.136667
48.208.208.22,192.168.0.103,UDP,3480,54119,110,2025-06-29 00:51:54.140644
48.208.208.22,192.168.0.103,UDP,3480,54119,137,2025-06-29 00:51:54.143636
192.168.0.103,48.208.208.22,UDP,54119,3480,90,2025-06-29 00:51:54.147660
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.151650
48.208.208.22,192.168.0.103,UDP,3480,54119,151,2025-06-29 00:51:54.154642
48.208.208.22,192.168.0.103,UDP,3480,54119,156,2025-06-29 00:51:54.158661
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.161653
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.164646
48.208.208.22,192.168.0.103,UDP,3480,54119,155,2025-06-29 00:51:54.168662
192.168.0.103,48.208.208.22,UDP,54119,3480,90,2025-06-29 00:51:54.171653
48.208.208.22,192.168.0.103,UDP,3480,54119,150,2025-06-29 00:51:54.175643
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.177666
48.208.208.22,192.168.0.103,UDP,3480,54119,155,2025-06-29 00:51:54.179661
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.181656
48.208.208.22,192.168.0.103,UDP,3480,54119,161,2025-06-29 00:51:54.184649
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.188669
48.208.208.22,192.168.0.103,UDP,3480,54119,170,2025-06-29 00:51:54.190664
192.168.0.103,48.208.208.22,UDP,54119,3480,90,2025-06-29 00:51:54.192659
48.208.208.22,192.168.0.103,UDP,3480,54119,175,2025-06-29 00:51:54.196167
192.168.0.103,48.208.208.22,UDP,54119,3480,201,2025-06-29 00:51:54.199667
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.202664
